Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
3.476219e-01,7.313117e-01,3.928130e-03,3.344918e-08,6.424971e-02,1.490433e-01,6.464750e-21,1.811961e-06,5.048136e-02,1.548606e-04,7.848162e-02,4.055364e-05,9.496468e+02,3.268592e-01,6.424971e-02,2.827300e-02,1.240707e-04,4.128025e-03,1.816532e-03
3.518997e-01,7.308640e-01,3.979525e-03,3.841632e-08,6.499830e-02,1.480514e-01,9.153979e-21,2.072674e-06,5.111157e-02,1.593212e-04,7.908739e-02,4.071386e-05,9.554745e+02,3.243916e-01,6.499830e-02,3.279539e-02,1.255084e-04,4.224779e-03,2.131645e-03
3.560067e-01,7.304332e-01,4.029400e-03,4.386137e-08,6.571013e-02,1.471055e-01,1.273786e-20,2.358749e-06,5.171797e-02,1.635992e-04,7.966391e-02,4.086457e-05,9.609733e+02,3.220832e-01,6.571013e-02,3.779481e-02,1.268758e-04,4.317821e-03,2.483502e-03
3.599552e-01,7.300179e-01,4.077913e-03,4.980116e-08,6.638715e-02,1.462028e-01,1.743889e-20,2.671295e-06,5.230235e-02,1.676824e-04,8.021298e-02,4.100635e-05,9.661625e+02,3.199211e-01,6.638715e-02,4.329197e-02,1.281764e-04,4.407254e-03,2.874031e-03
3.637632e-01,7.296162e-01,4.125306e-03,5.626216e-08,6.703233e-02,1.453393e-01,2.352633e-20,3.011930e-06,5.286745e-02,1.715693e-04,8.073720e-02,4.113999e-05,9.710685e+02,3.178902e-01,6.703233e-02,4.931675e-02,1.294157e-04,4.493333e-03,3.305817e-03
3.674274e-01,7.292285e-01,4.171549e-03,6.323053e-08,6.764492e-02,1.445160e-01,3.126805e-20,3.380148e-06,5.341275e-02,1.752399e-04,8.123616e-02,4.126545e-05,9.756890e+02,3.159876e-01,6.764492e-02,5.586170e-02,1.305920e-04,4.575835e-03,3.778760e-03
3.709749e-01,7.288518e-01,4.216998e-03,7.074531e-08,6.822933e-02,1.437267e-01,4.102611e-20,3.778222e-06,5.394231e-02,1.787089e-04,8.171362e-02,4.138376e-05,9.800599e+02,3.141952e-01,6.822933e-02,6.296916e-02,1.317135e-04,4.655241e-03,4.296344e-03
3.744256e-01,7.284841e-01,4.261932e-03,7.883873e-08,6.878855e-02,1.429674e-01,5.321525e-20,4.208068e-06,5.445914e-02,1.819857e-04,8.217225e-02,4.149563e-05,9.842061e+02,3.125002e-01,6.878855e-02,7.067626e-02,1.327859e-04,4.731865e-03,4.861717e-03
3.777765e-01,7.281255e-01,4.306337e-03,8.748629e-08,6.932184e-02,1.422389e-01,6.821053e-20,4.668580e-06,5.496284e-02,1.850604e-04,8.261163e-02,4.160096e-05,9.881236e+02,3.109016e-01,6.932184e-02,7.896676e-02,1.338075e-04,4.805518e-03,5.474121e-03
3.810430e-01,7.277745e-01,4.350441e-03,9.669903e-08,6.983134e-02,1.415382e-01,8.647607e-20,5.160521e-06,5.545576e-02,1.879428e-04,8.303374e-02,4.170026e-05,9.918299e+02,3.093899e-01,6.983134e-02,8.785887e-02,1.347822e-04,4.876416e-03,6.135303e-03
